ID,Name,Designator,Footprint,Quantity,Manufacturer Part,Manufacturer,Supplier,Supplier Part,LCSC Assembly
1,2.2uF,C8,C1206,1,CL31B225KBHNNNE,SAMSUNG,LCSC,C50254,Yes
2,100,R4,R0805,1,0805W8F1000T5E,UniOhm,LCSC,C17408,Yes
3,MCP9701AT-E/TT,U4,SOT-23-3_L3.0-W1.7-P0.95-LS2.9-BR,1,MCP9701AT-E/TT,Microchip Tech,LCSC,C150830,Yes
4,FC-2012HRK-620D,LED1,LED0805-RD,1,FC-2012HRK-620D,NATIONSTAR,LCSC,C84256,Yes
5,330,"R7,R8",R0402,2,0402WGF3300TCE,UniOhm,LCSC,C25104,Yes
6,NVTFS5C453NLWFTAG,"Q1,Q3,Q5,Q6,Q4,Q2",POWERTDFN-8_L3.1-W3.1-P0.65-LS3.3-BL,6,NVTFS5C453NLWFTAG,ON,LCSC,C145551,Yes
7,MA730GQ-Z,U3,VQFN-16_L3.0-W3.0-P0.50-TL-EP,1,MA730GQ-Z,Monolithic Power Systems,LCSC,C161798,Yes
8,1nF,"C10,C11,C12",C0402,3,0402B102K500NT,FH,LCSC,C1523,Yes
9,3.3V Blue,LED2,LED0603-R-RD,1,19-217/BHC-ZL1M2RY/3T,EVERLIGHT,LCSC,C72041,Yes
10,0.005,"R2,R3,R1",R2512,3,MS122WJ050MT4E,UniOhm,LCSC,C49483,Yes
11,4.7uF,C6,C1206,1,1206B475K500NT,FH,LCSC,C29823,Yes
12,10K,"R5,R6",R0603,2,0603WAF1002T5E,UniOhm,LCSC,C25804,Yes
13,1uF,"C5,C2,C1,C3,C9,C15,C16,C17",C0402,8,CL05A105KA5NQNC,SAMSUNG,LCSC,C52923,Yes
14,DRV8305NPHPR,U1,HTQFP-48_L7.0-W7.0-P0.50-LS9.0-BL-EP,1,DRV8305NPHPR,Texas Instruments,LCSC,C75602,Yes
15,47nF,"C7,C4",C0603,2,CL10B473KB8NNNC,SAMSUNG,LCSC,C1622,Yes
